*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2015 305   131     0     1    77.7   75.7    2.1    8.90   10.59   12.33    7.99    5.68    0.72    0.47    0.37    0.03    0.04  199.70  164.46    0.40   27.02    0.00  172.68   78.49   67.77    0.00
 2015 306   132     0     1    78.2   76.2    2.0    9.25   10.67   12.40    7.99    5.69    0.71    0.45    0.35    0.03    0.03  200.27  164.98    0.40   27.13    0.00  173.13   78.49   67.77    0.00
 2015 307   133     0     1    78.6   76.7    1.9    9.60   10.75   12.45    8.00    5.70    0.68    0.43    0.34    0.03    0.03  200.77  165.47    0.40   27.23    0.00  173.54   78.49   67.77    0.00
 2015 308   134     0     1    78.9   77.1    1.8    9.94   10.82   12.49    8.00    5.70    0.63    0.41    0.32    0.03    0.03  201.22  165.93    0.40   27.32    0.00  173.89   78.49   67.77    0.00
 2015 309   135     0     1    79.3   77.5    1.7   10.27   10.88   12.53    8.00    5.71    0.58    0.39    0.30    0.03    0.03  201.62  166.35    0.40   27.40    0.00  174.21   78.49   67.77    0.00
 2015 310   136     0     1    79.5   77.9    1.6   10.56   10.93   12.57    8.01    5.72    0.54    0.37    0.29    0.03    0.03  201.97  166.72    0.40   27.48    0.00  174.50   78.49   67.77    0.00
 2015 311   137     0     1    79.8   78.3    1.5   10.84   10.97   12.60    8.01    5.73    0.51    0.36    0.27    0.03    0.03  202.30  167.07    0.40   27.54    0.00  174.76   78.49   67.77    0.00
 2015 312   138     0     1    80.0   78.6    1.5   11.10   11.00   12.63    8.01    5.73    0.48    0.34    0.26    0.02    0.03  202.60  167.38    0.40   27.61    0.00  174.99   78.49   67.77    0.00
 2015 313   139     0     1    80.2   78.8    1.4   11.35   11.01   12.66    8.02    5.74    0.46    0.32    0.25    0.02    0.03  202.86  167.65    0.40   27.66    0.00  175.20   78.49   67.77    0.00
 2015 314   140     0     1    80.4   79.1    1.3   11.59   11.03   12.69    8.02    5.75    0.44    0.30    0.24    0.02    0.03  203.10  167.91    0.40   27.71    0.00  175.38   78.49   67.77    0.00
 2015 315   141     0     1    80.6   79.3    1.3   11.82   11.04   12.71    8.02    5.75    0.42    0.28    0.23    0.02    0.03  203.31  168.15    0.40   27.76    0.00  175.56   78.49   67.77    0.00
 2015 316   142     0     1    80.8   79.6    1.2   12.04   11.04   12.73    8.02    5.76    0.40    0.27    0.22    0.02    0.02  203.51  168.37    0.40   27.80    0.00  175.71   78.49   67.77    0.00
 2015 317   143     0     1    80.9   79.8    1.1   12.25   11.05   12.75    8.02    5.76    0.38    0.25    0.21    0.02    0.02  203.70  168.57    0.40   27.84    0.00  175.86   78.49   67.77    0.00
 2015 318   144     0     1    81.0   79.9    1.1   12.45   11.04   12.77    8.02    5.77    0.36    0.24    0.20    0.02    0.02  203.87  168.76    0.40   27.88    0.00  175.99   78.49   67.77    0.00
 2015 319   145     0     1    81.1   80.1    1.0   12.64   11.04   12.79    8.02    5.77    0.34    0.23    0.19    0.02    0.02  204.02  168.93    0.40   27.91    0.00  176.11   78.49   67.77    0.00
 2015 320   146     0     1    81.2   80.3    1.0   12.83   11.03   12.80    8.02    5.77    0.32    0.21    0.18    0.02    0.02  204.16  169.09    0.40   27.94    0.00  176.21   78.49   67.77    0.00
 2015 321   147     0     1    81.3   80.4    0.9   13.01   11.02   12.82    8.02    5.77    0.30    0.20    0.17    0.01    0.02  204.26  169.23    0.40   27.97    0.00  176.30   78.49   67.77    0.00
